topic,body
grain,"The U.S. Agriculture Department reported the farmer-owned reserve national five-day average price through February 25 as follows (Dlrs/Bu-Sorghum Cwt) -          Natl   Loan           Release   Call          Avge   Rate-X  Level    Price  Price  Wheat   2.55   2.40       IV     4.65     --                             V     4.65     --                            VI     4.45     --  Corn    1.35   1.92       IV     3.15   3.15                             V     3.25     --  X - 1986 Rates.            Natl   Loan          Release   Call           Avge   Rate-X  Level   Price  Price  Oats     1.24   0.99        V    1.65    --   Barley   n.a.   1.56       IV    2.55   2.55                              V    2.65    --   Sorghum  2.34   3.25-Y     IV    5.36   5.36                              V    5.54    --      Reserves I, II and III have matured. Level IV reflects grain entered after Oct 6, 1981 for feedgrain and after July 23, 1981 for wheat. Level V wheat/barley after 5/14/82, corn/sorghum after 7/1/82. Level VI covers wheat entered after January 19, 1984.  X-1986 rates. Y-dlrs per CWT (100 lbs). n.a.-not available.  Reuter "
wheat,"The Commodity Credit Corporation, CCC, has accepted an export bonus offer to cover the sale of 37,000 long tons of wheat flour to North Yemen, the U.S. Agriculture Department said.     The wheat four is for shipment March-May and the bonus awarded was 119.05 dlrs per tonnes and will be paid in the form of commodities from the CCC inventory.     The bonus was awarded to the Pillsbury Company.     The wheat flour purchases complete the Export Enhancement Program initiative announced in April, 1986, it said.  Reuter "
coffee,"International Coffee Organization, ICO, producing countries will present a proposal for reintroducing export quotas for 12 months from April 1 with a firm undertaking to try to negotiate up to September 30 any future quota distribution on a new basis, ICO delegates said.     Distribution from April 1 would be on an unchanged basis as in an earlier producer proposal, which includes shortfall redistributions totalling 1.22 mln bags, they said.     Resumption of an ICO contact group meeting with consumers, scheduled for this evening, has been postponed until tomorrow, delegates said.  Reuter "
sugar,"Sugar imports subject to the U.S. sugar import quota during the week ended January 9, the initial week of the 1987 sugar quota year, totaled 5,988 short tons versus 46,254 tons the previous week, the Agriculture Department said.     The sugar import quota for the 1987 quota year (January-December) has been set at 1,001,430 short tons compared with 1,850,000 tons in the 1986 quota year, which was extended three months to December 31.     The department said the Customs Service has reported that weekly and cumulative imports are reported on an actual weight basis and when final polarizations are received, cumulative import data are adjusted accordingly.  Reuter "
trade,"inflation plan, initially hailed at home and abroad as the saviour of the economy, is limping towards its first anniversary amid soaring prices, widespread shortages and a foreign payments crisis.     Announced last February 28 the plan froze prices, fixed the value of the new Cruzado currency and ended widespread indexation of the economy in a bid to halt the country's 250 pct inflation rate.     But within a year the plan has all but collapsed.     ""The situation now is worse than it was. Although there was inflation, at least the economy worked,"" a leading bank economist said.     The crumbling of the plan has been accompanied by a dramatic reversal in the foreign trade account. In 1984 and 1985 Brazil's annual trade surpluses had been sufficient to cover the 12 billion dlrs needed to service its 109 billion dlr foreign debt.     For the first nine months of 1986 all seemed to be on target for a repeat, with monthly surpluses averaging one billion dlrs. But as exports were diverted and imports increased to avoid further domestic shortages the trade surplus plunged to 211 mln dlrs in October and since then has averaged under 150 mln.  Reuter "
ship,"The Panama Canal Commission, a U.S. government agency, said in its daily operations report that there was a backlog of 39 ships waiting to enter the canal early today. Over the next two days it expects --                            2/26  2/27                        Due: 27    35       Scheduled to Transit: 35    41            End-Day Backlog: 31    25     Average waiting time tomorrow --          Super Tankers  Regular Vessels  North End:  13 hrs      15 hrs  South End:   4 hrs      26 hrs  Reuter "
grain,"The Commodity Credit Corporation (CCC) announced 1.5 mln dlrs in credit guarantees previously earmarked to cover sales of dry edible beans to Honduras have been switched to cover sales of white corn, the U.S. Agriculture Department said.     The department said the action reduces coverage for sales of dry edible beans to 500,000 dlrs and creates the new line of 1.5 mln dlrs for sales of white corn.     All sales under the credit guarantee line must be registered  and shipped by September 30, 1987, it said.  Reuter "
ship,"Gulf barge freight rates firmed again on the outlook for steady vessel loadings at the Gulf, increasing the demand for barges to supply those ships, dealers said.     No barges traded today on the St Louis Merchants' Exchange call session, versus 29 yesterday.     Quotes included -  - Delivery this week on the Illinois River (Joliet) 135 pct of tariff bid/140 offered, with next week same river (ex Chicago) quoted the same - both up 2-1/2 percentage points.  - Next week Mississippi River (St Louis) 120 pct bid/127-1/2 offered - up five points.  - Next week Ohio River (Owensboro/south) 125 pct bid/132-1/2 offered - up 7-1/2 points.  - On station Illinois River (south Chicago) 135 pct bid/140 offered - no comparison.  - March Illinois (ex Chicago) 132-1/2 pct bid/140 offered - up 2-1/2 points.  - March Ohio River bid at yesterday's traded level of 125 pct, offered at 132-1/2.  - March lower Mississippi River (Memphis/Cairo) 112-1/2 pct bid/120 offered - no comparison.  - May Illinois River (ex Chicago) 100 pct bid/107-1/2 offered - no comparison.  - Sept/Nov Lower Mississippi River (Memphis/Cairo) 137-1/2 pct bid/145 offered, with Sept/Dec same section 125 pct bid/135 offered - no comparison.  Reuter "
coffee,"International Coffee Organization (ICO) exporters will modify their new proposal on quota resumption before presenting it to importers tomorrow, ICO delegates said.     The change, which will be discussed tonight informally among producers, follows talks after the formal producer session with the eight-member producer splinter group and will affect the proposed quota distribution for 12 months from April one, they said.     The proposed share-out would still include shortfall declarations, they said.  Reuter "
grain,"The Agricultural Stabilization and Conservation Service (ASCS) has established these unit values for commodities offered from government stocks through redemption of Commodity Credit Corporation commodity certificates, effective through the next business day.     Price per bushel is in U.S. dollars. Sorghum is priced per CWT, corn yellow grade only.      WHEAT     HRW   HRS    SRW   SWW   DURUM  Chicago       --    3.04   2.98  --    --  Ill. Track    --    --     3.16  --    --  Toledo        --    3.04   2.98  2.90  --  Memphis       --    --     3.05  --    --  Peoria        --    --     3.11  --    --  Denver        2.62  2.63  --    --    --  Evansville    --    --    2.99  --    --  Cincinnati    --    --    2.96  --    --  Minneapolis   2.65  2.71  --    --    3.70  Baltimore/  Norf./Phil.   --    --    3.06  2.98  --  Kansas City   2.87  --    3.17  --    --  St. Louis     3.03  --    3.03  --    --  Amarillo/  Lubbock       2.64  --    --    --    --                HRW   HRS   SRW   SWW   DURUM  Lou. Gulf     --    --    3.16  --    --  Portland/  Seattle       3.07  3.08  --    3.10  3.70  Stockton      2.78  --    --    --    --  L.A.          3.23  --    --    --    4.05  Duluth        2.65  2.71  --    --    3.70  Tex. Gulf     3.10  --    3.16  --    --               CORN  BRLY  OATS  RYE   SOYB  SORG  Chicago     1.47  --    --    --    4.81  2.49  Ill. Track  1.49  2.04  --    --    4.85  2.52  Toledo      1.41  2.04  1.50  --    4.78  2.39  Memphis     1.59  1.95  1.71  --    4.90  2.86  Peoria      1.51  ---   --    --    4.80  2.60  Denver      1.56  1.56  --    --    --    2.54  Evnsvlle    1.54  2.04  1.50  2.17  4.90  2.61  Cinci       1.52  2.04  1.50  2.17  4.85  2.58  Mpls        1.34  1.75  1.50  1.85  4.68  --  Balt/Nor/  Phil        1.70  1.80  --    --    4.98  3.12  KC          1.49  1.56  1.64  --    4.76  2.58  St Lo       1.54  --    1.66  --    4.90  2.91  Amarlo/  Lubbck      1.84  1.40  --    --    4.75  2.92  Lou Gulf    1.73  --    --    --    5.05  3.12  Port/  Seattle     1.87  2.10  1.68  --    --    --  Stockton    2.18  2.23  2.10  --    --    4.00  LA          2.54  2.50  --    --    --    4.38  Duluth      1.34  1.75  1.50  1.85  4.68  --  Tex Gulf    1.73  1.48  1.73  --    5.05  3.12  Reuter "
